recommendation,source_info,source_package_name,binning_data,create_time,deviceuuid,modify_sh_ver,active_time,speed,achievement,healthy_step,create_sh_ver,datauuid,walk_step_count,run_step_count,day_time,calorie,distance,step_count,update_time,pkg_name,
6000,,com.sec.android.app.shealth,73a491b3-b97d-409e-8329-7dbe52878b26.binning_data,"05/09/2024, 9:30:35 AM",HuT3voPSBy,,6477000,3.870504,73a491b3-b97d-409e-8329-7dbe52878b26.achievement,0,,73a491b3-b97d-409e-8329-7dbe52878b26,7361,2665,1715212800000,530.568176,9207.477539,10026,"05/09/2024, 8:16:25 PM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,7f6a3902-5204-4fcb-97bc-dbf4d5a8ea5f.binning_data,"05/09/2024, 3:16:48 PM",xtfbSOmziO,,4216385,2.694961,7f6a3902-5204-4fcb-97bc-dbf4d5a8ea5f.achievement,0,,7f6a3902-5204-4fcb-97bc-dbf4d5a8ea5f,5222,3394,1715212800000,421.222931,7168.210938,8616,"05/09/2024, 5:25:23 PM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,e6cf0983-e39a-4a52-a6e7-3700e2e6cf14.binning_data,"05/10/2024, 1:43:28 AM",VfS0qUERdZ,,6492205,0.972366,e6cf0983-e39a-4a52-a6e7-3700e2e6cf14.achievement,0,,e6cf0983-e39a-4a52-a6e7-3700e2e6cf14,8722,0,1715299200000,325.423248,6312.799805,8722,"05/10/2024, 9:42:47 PM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,82d3d024-2945-43fe-8465-bf4e88081698.binning_data,"05/10/2024, 2:39:44 AM",HuT3voPSBy,,4542000,1.814000,82d3d024-2945-43fe-8465-bf4e88081698.achievement,0,,82d3d024-2945-43fe-8465-bf4e88081698,4813,0,1715299200000,191.986755,3304.904053,4813,"05/10/2024, 9:42:52 PM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,4a256b56-14e9-42cd-8949-f72377602bfa.binning_data,"05/10/2024, 2:52:23 AM",xtfbSOmziO,,3099684,2.138889,4a256b56-14e9-42cd-8949-f72377602bfa.achievement,0,,4a256b56-14e9-42cd-8949-f72377602bfa,5465,0,1715299200000,191.220001,4093.201904,5465,"05/10/2024, 6:45:53 AM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,7eb57064-f6cb-4959-93e3-82da3528e525.binning_data,"05/10/2024, 9:42:47 PM",VfS0qUERdZ,,12716056,0.912730,7eb57064-f6cb-4959-93e3-82da3528e525.achievement,0,,7eb57064-f6cb-4959-93e3-82da3528e525,16380,0,1715385600000,610.649963,11606.320312,16380,"05/11/2024, 9:44:55 PM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,8eea75e0-0bfb-44f8-8f08-50e3b1683666.binning_data,"05/10/2024, 9:42:52 PM",HuT3voPSBy,,12548000,1.968714,8eea75e0-0bfb-44f8-8f08-50e3b1683666.achievement,0,,8eea75e0-0bfb-44f8-8f08-50e3b1683666,16380,0,1715385600000,610.649963,11606.320312,16380,"05/11/2024, 9:45:00 PM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,cb4b2472-da72-450d-9519-ec791a024780.binning_data,"05/11/2024, 9:44:55 PM",VfS0qUERdZ,,3168517,0.686636,cb4b2472-da72-450d-9519-ec791a024780.achievement,0,,cb4b2472-da72-450d-9519-ec791a024780,3267,0,1715472000000,128.496414,2175.616211,3267,"05/13/2024, 5:15:55 AM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,22345050-7177-40ec-b941-394651762961.binning_data,"05/11/2024, 9:45:00 PM",HuT3voPSBy,,3112000,1.518764,22345050-7177-40ec-b941-394651762961.achievement,0,,22345050-7177-40ec-b941-394651762961,3267,0,1715472000000,128.496414,2175.616211,3267,"05/13/2024, 5:15:53 AM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,e1db837a-ed8c-447b-904c-e966c71cce06.binning_data,"05/13/2024, 5:15:53 AM",VfS0qUERdZ,,6973970,1.566906,e1db837a-ed8c-447b-904c-e966c71cce06.achievement,0,,e1db837a-ed8c-447b-904c-e966c71cce06,6359,4856,1715558400000,677.406128,10927.559570,11215,"05/14/2024, 12:26:59 AM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,67acb696-ee8e-4bc3-865b-fa0f5ce7032d.binning_data,"05/13/2024, 5:15:53 AM",HuT3voPSBy,,6871000,3.700133,67acb696-ee8e-4bc3-865b-fa0f5ce7032d.achievement,0,,67acb696-ee8e-4bc3-865b-fa0f5ce7032d,6359,4856,1715558400000,677.406128,10927.559570,11215,"05/14/2024, 12:27:05 AM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,267f37a0-a3e1-476b-924d-aec4e94a9478.binning_data,"05/14/2024, 3:41:44 AM",VfS0qUERdZ,,4029948,0.728327,267f37a0-a3e1-476b-924d-aec4e94a9478.achievement,0,,267f37a0-a3e1-476b-924d-aec4e94a9478,4224,0,1715644800000,168.698547,2935.119629,4224,"05/16/2024, 9:39:54 AM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,fe7c77c4-de43-46cb-a6b4-09f736d54582.binning_data,"05/14/2024, 6:42:22 AM",HuT3voPSBy,,3956000,1.584325,fe7c77c4-de43-46cb-a6b4-09f736d54582.achievement,0,,fe7c77c4-de43-46cb-a6b4-09f736d54582,4224,0,1715644800000,168.698547,2935.119629,4224,"05/16/2024, 9:39:53 AM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,779fd01a-93c2-4f08-8b14-08f6d3ee5634.binning_data,"05/16/2024, 9:39:53 AM",VfS0qUERdZ,,4832470,0.987448,779fd01a-93c2-4f08-8b14-08f6d3ee5634.achievement,0,,779fd01a-93c2-4f08-8b14-08f6d3ee5634,6684,8,1715817600000,245.511185,4771.813965,6692,"05/17/2024, 4:22:27 AM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,59f34dc9-7492-46d4-bf14-3ef57cbff872.binning_data,"05/16/2024, 9:39:53 AM",HuT3voPSBy,,4271000,3.773656,59f34dc9-7492-46d4-bf14-3ef57cbff872.achievement,0,,59f34dc9-7492-46d4-bf14-3ef57cbff872,4210,2989,1715731200000,426.995972,7037.398926,7199,"05/16/2024, 9:39:53 AM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,fe3cf427-c719-4fe9-81f2-cfcd7d5df832.binning_data,"05/16/2024, 9:39:53 AM",HuT3voPSBy,,3847000,1.520665,fe3cf427-c719-4fe9-81f2-cfcd7d5df832.achievement,0,,fe3cf427-c719-4fe9-81f2-cfcd7d5df832,4503,0,1715817600000,171.615097,3088.788574,4503,"05/17/2024, 4:19:35 AM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,ef54b031-f974-48b7-858d-603a597ab949.binning_data,"05/16/2024, 9:39:54 AM",VfS0qUERdZ,,4332466,1.624340,ef54b031-f974-48b7-858d-603a597ab949.achievement,0,,ef54b031-f974-48b7-858d-603a597ab949,4210,2989,1715731200000,426.995972,7037.398926,7199,"05/16/2024, 9:39:54 AM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,121f3637-f37b-4499-9899-b00a28914e3a.binning_data,"05/17/2024, 4:19:35 AM",VfS0qUERdZ,,5453595,1.141236,121f3637-f37b-4499-9899-b00a28914e3a.achievement,0,,121f3637-f37b-4499-9899-b00a28914e3a,8529,21,1715904000000,303.615021,6223.840820,8550,"05/18/2024, 11:37:46 AM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,a7e45fce-0ce9-4ebf-bdc3-1ef5152774dd.binning_data,"05/17/2024, 4:19:36 AM",HuT3voPSBy,,2815000,1.579962,a7e45fce-0ce9-4ebf-bdc3-1ef5152774dd.achievement,0,,a7e45fce-0ce9-4ebf-bdc3-1ef5152774dd,3765,0,1715904000000,136.305405,2591.752197,3765,"05/18/2024, 5:39:16 AM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,a6ce18da-ca62-4576-8e98-473c52404fe0.binning_data,"05/17/2024, 4:22:27 AM",xtfbSOmziO,,2214904,2.555556,a6ce18da-ca62-4576-8e98-473c52404fe0.achievement,0,,a6ce18da-ca62-4576-8e98-473c52404fe0,3943,8,1715817600000,139.589996,2962.039062,3951,"05/17/2024, 4:22:27 AM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,e8d7f40b-a990-4f0c-9b91-1dbfba6aa1d1.binning_data,"05/17/2024, 4:22:27 AM",xtfbSOmziO,,4030597,2.027778,e8d7f40b-a990-4f0c-9b91-1dbfba6aa1d1.achievement,0,,e8d7f40b-a990-4f0c-9b91-1dbfba6aa1d1,6928,21,1715904000000,244.229111,5176.477051,6949,"05/18/2024, 11:37:45 AM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,087d99d7-ffef-4d76-8635-3631adc389d0.binning_data,"05/18/2024, 5:39:16 AM",VfS0qUERdZ,,4256064,1.016037,087d99d7-ffef-4d76-8635-3631adc389d0.achievement,0,,087d99d7-ffef-4d76-8635-3631adc389d0,5985,0,1715990400000,219.364777,4324.317871,5985,"05/18/2024, 9:51:29 PM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,3db9b86e-bf40-4de4-9e19-82055a3ddebd.binning_data,"05/18/2024, 5:39:16 AM",HuT3voPSBy,,2835000,1.575119,3db9b86e-bf40-4de4-9e19-82055a3ddebd.achievement,0,,3db9b86e-bf40-4de4-9e19-82055a3ddebd,3112,0,1715990400000,122.285278,2142.820068,3112,"05/18/2024, 9:51:38 PM",com.sec.android.app.shealth,
